District,Year,Forecast_Enrollment,Model,Required_Teachers
Ariyalur,2026,273155,ExponentialSmoothing,9105
Ariyalur,2027,277063,ExponentialSmoothing,9235
Ariyalur,2028,280970,ExponentialSmoothing,9366
Ariyalur,2029,284878,ExponentialSmoothing,9496
Ariyalur,2030,288786,ExponentialSmoothing,9626
Chengalpattu,2026,293917,ExponentialSmoothing,9797
Chengalpattu,2027,297540,ExponentialSmoothing,9918
Chengalpattu,2028,301163,ExponentialSmoothing,10039
Chengalpattu,2029,304786,ExponentialSmoothing,10160
Chengalpattu,2030,308409,ExponentialSmoothing,10280
Chennai,2026,433569,ExponentialSmoothing,14452
Chennai,2027,438142,ExponentialSmoothing,14605
Chennai,2028,442715,ExponentialSmoothing,14757
Chennai,2029,447288,ExponentialSmoothing,14910
Chennai,2030,451862,ExponentialSmoothing,15062
Coimbatore,2026,435449,ExponentialSmoothing,14515
Coimbatore,2027,442312,ExponentialSmoothing,14744
Coimbatore,2028,449175,ExponentialSmoothing,14972
Coimbatore,2029,456038,ExponentialSmoothing,15201
Coimbatore,2030,462901,ExponentialSmoothing,15430
Cuddalore,2026,337465,ExponentialSmoothing,11249
Cuddalore,2027,342162,ExponentialSmoothing,11405
Cuddalore,2028,346859,ExponentialSmoothing,11562
Cuddalore,2029,351556,ExponentialSmoothing,11719
Cuddalore,2030,356253,ExponentialSmoothing,11875
Dharmapuri,2026,141390,ExponentialSmoothing,4713
Dharmapuri,2027,143555,ExponentialSmoothing,4785
Dharmapuri,2028,145720,ExponentialSmoothing,4857
Dharmapuri,2029,147885,ExponentialSmoothing,4930
Dharmapuri,2030,150051,ExponentialSmoothing,5002
Dindigul,2026,270201,ExponentialSmoothing,9007
Dindigul,2027,275009,ExponentialSmoothing,9167
Dindigul,2028,279816,ExponentialSmoothing,9327
Dindigul,2029,284624,ExponentialSmoothing,9487
Dindigul,2030,289432,ExponentialSmoothing,9648
Erode,2026,374461,ExponentialSmoothing,12482
Erode,2027,378611,ExponentialSmoothing,12620
Erode,2028,382762,ExponentialSmoothing,12759
Erode,2029,386913,ExponentialSmoothing,12897
Erode,2030,391063,ExponentialSmoothing,13035
Kallakurichi,2026,247081,ExponentialSmoothing,8236
Kallakurichi,2027,253000,ExponentialSmoothing,8433
Kallakurichi,2028,258920,ExponentialSmoothing,8631
Kallakurichi,2029,264839,ExponentialSmoothing,8828
Kallakurichi,2030,270759,ExponentialSmoothing,9025
Kancheepuram,2026,407336,ExponentialSmoothing,13578
Kancheepuram,2027,413875,ExponentialSmoothing,13796
Kancheepuram,2028,420414,ExponentialSmoothing,14014
Kancheepuram,2029,426953,ExponentialSmoothing,14232
Kancheepuram,2030,433492,ExponentialSmoothing,14450
Kanniyakumari,2026,291947,ExponentialSmoothing,9732
Kanniyakumari,2027,296165,ExponentialSmoothing,9872
Kanniyakumari,2028,300383,ExponentialSmoothing,10013
Kanniyakumari,2029,304601,ExponentialSmoothing,10153
Kanniyakumari,2030,308819,ExponentialSmoothing,10294
Karur,2026,433384,ExponentialSmoothing,14446
Karur,2027,438926,ExponentialSmoothing,14631
Karur,2028,444468,ExponentialSmoothing,14816
Karur,2029,450010,ExponentialSmoothing,15000
Karur,2030,455552,ExponentialSmoothing,15185
Krishnagiri,2026,165322,ExponentialSmoothing,5511
Krishnagiri,2027,167055,ExponentialSmoothing,5568
Krishnagiri,2028,168788,ExponentialSmoothing,5626
Krishnagiri,2029,170521,ExponentialSmoothing,5684
Krishnagiri,2030,172255,ExponentialSmoothing,5742
Madurai,2026,572879,ExponentialSmoothing,19096
Madurai,2027,580742,ExponentialSmoothing,19358
Madurai,2028,588604,ExponentialSmoothing,19620
Madurai,2029,596466,ExponentialSmoothing,19882
Madurai,2030,604328,ExponentialSmoothing,20144
Mayiladuthurai,2026,392233,ExponentialSmoothing,13074
Mayiladuthurai,2027,396904,ExponentialSmoothing,13230
Mayiladuthurai,2028,401575,ExponentialSmoothing,13386
Mayiladuthurai,2029,406246,ExponentialSmoothing,13542
Mayiladuthurai,2030,410917,ExponentialSmoothing,13697
Nagapattinam,2026,269405,ExponentialSmoothing,8980
Nagapattinam,2027,272699,ExponentialSmoothing,9090
Nagapattinam,2028,275993,ExponentialSmoothing,9200
Nagapattinam,2029,279288,ExponentialSmoothing,9310
Nagapattinam,2030,282582,ExponentialSmoothing,9419
Namakkal,2026,408149,ExponentialSmoothing,13605
Namakkal,2027,417788,ExponentialSmoothing,13926
Namakkal,2028,427426,ExponentialSmoothing,14248
Namakkal,2029,437064,ExponentialSmoothing,14569
Namakkal,2030,446702,ExponentialSmoothing,14890
Nilgiris,2026,175738,ExponentialSmoothing,5858
Nilgiris,2027,179271,ExponentialSmoothing,5976
Nilgiris,2028,182803,ExponentialSmoothing,6093
Nilgiris,2029,186336,ExponentialSmoothing,6211
Nilgiris,2030,189869,ExponentialSmoothing,6329
Perambalur,2026,251636,ExponentialSmoothing,8388
Perambalur,2027,256832,ExponentialSmoothing,8561
Perambalur,2028,262027,ExponentialSmoothing,8734
Perambalur,2029,267223,ExponentialSmoothing,8907
Perambalur,2030,272418,ExponentialSmoothing,9081
Pudukkottai,2026,362811,ExponentialSmoothing,12094
Pudukkottai,2027,366770,ExponentialSmoothing,12226
Pudukkottai,2028,370728,ExponentialSmoothing,12358
Pudukkottai,2029,374687,ExponentialSmoothing,12490
Pudukkottai,2030,378645,ExponentialSmoothing,12622
Ramanathapuram,2026,333874,ExponentialSmoothing,11129
Ramanathapuram,2027,337945,ExponentialSmoothing,11265
Ramanathapuram,2028,342016,ExponentialSmoothing,11401
Ramanathapuram,2029,346087,ExponentialSmoothing,11536
Ramanathapuram,2030,350158,ExponentialSmoothing,11672
Ranipet,2026,278472,ExponentialSmoothing,9282
Ranipet,2027,280780,ExponentialSmoothing,9359
Ranipet,2028,283088,ExponentialSmoothing,9436
Ranipet,2029,285395,ExponentialSmoothing,9513
Ranipet,2030,287703,ExponentialSmoothing,9590
Salem,2026,353593,ExponentialSmoothing,11786
Salem,2027,358760,ExponentialSmoothing,11959
Salem,2028,363926,ExponentialSmoothing,12131
Salem,2029,369093,ExponentialSmoothing,12303
Salem,2030,374259,ExponentialSmoothing,12475
Sivagangai,2026,274394,ExponentialSmoothing,9146
Sivagangai,2027,279172,ExponentialSmoothing,9306
Sivagangai,2028,283950,ExponentialSmoothing,9465
Sivagangai,2029,288728,ExponentialSmoothing,9624
Sivagangai,2030,293506,ExponentialSmoothing,9784
Tenkasi,2026,442753,ExponentialSmoothing,14758
Tenkasi,2027,452670,ExponentialSmoothing,15089
Tenkasi,2028,462588,ExponentialSmoothing,15420
Tenkasi,2029,472505,ExponentialSmoothing,15750
Tenkasi,2030,482423,ExponentialSmoothing,16081
Thanjavur,2026,323811,ExponentialSmoothing,10794
Thanjavur,2027,331455,ExponentialSmoothing,11048
Thanjavur,2028,339099,ExponentialSmoothing,11303
Thanjavur,2029,346742,ExponentialSmoothing,11558
Thanjavur,2030,354386,ExponentialSmoothing,11813
Theni,2026,309722,ExponentialSmoothing,10324
Theni,2027,314758,ExponentialSmoothing,10492
Theni,2028,319794,ExponentialSmoothing,10660
Theni,2029,324831,ExponentialSmoothing,10828
Theni,2030,329867,ExponentialSmoothing,10996
Thoothukudi,2026,308389,ExponentialSmoothing,10280
Thoothukudi,2027,313905,ExponentialSmoothing,10464
Thoothukudi,2028,319421,ExponentialSmoothing,10647
Thoothukudi,2029,324937,ExponentialSmoothing,10831
Thoothukudi,2030,330453,ExponentialSmoothing,11015
Tiruchirappalli,2026,566493,ExponentialSmoothing,18883
Tiruchirappalli,2027,571687,ExponentialSmoothing,19056
Tiruchirappalli,2028,576881,ExponentialSmoothing,19229
Tiruchirappalli,2029,582075,ExponentialSmoothing,19402
Tiruchirappalli,2030,587269,ExponentialSmoothing,19576
Tirunelveli,2026,346197,ExponentialSmoothing,11540
Tirunelveli,2027,350233,ExponentialSmoothing,11674
Tirunelveli,2028,354268,ExponentialSmoothing,11809
Tirunelveli,2029,358304,ExponentialSmoothing,11943
Tirunelveli,2030,362339,ExponentialSmoothing,12078
Tirupattur,2026,413349,ExponentialSmoothing,13778
Tirupattur,2027,417604,ExponentialSmoothing,13920
Tirupattur,2028,421859,ExponentialSmoothing,14062
Tirupattur,2029,426113,ExponentialSmoothing,14204
Tirupattur,2030,430368,ExponentialSmoothing,14346
Tiruppur,2026,273910,ExponentialSmoothing,9130
Tiruppur,2027,277639,ExponentialSmoothing,9255
Tiruppur,2028,281368,ExponentialSmoothing,9379
Tiruppur,2029,285097,ExponentialSmoothing,9503
Tiruppur,2030,288826,ExponentialSmoothing,9628
Tiruvallur,2026,231052,ExponentialSmoothing,7702
Tiruvallur,2027,236123,ExponentialSmoothing,7871
Tiruvallur,2028,241194,ExponentialSmoothing,8040
Tiruvallur,2029,246264,ExponentialSmoothing,8209
Tiruvallur,2030,251335,ExponentialSmoothing,8378
Tiruvannamalai,2026,415748,ExponentialSmoothing,13858
Tiruvannamalai,2027,423146,ExponentialSmoothing,14105
Tiruvannamalai,2028,430543,ExponentialSmoothing,14351
Tiruvannamalai,2029,437941,ExponentialSmoothing,14598
Tiruvannamalai,2030,445338,ExponentialSmoothing,14845
Tiruvarur,2026,354886,ExponentialSmoothing,11830
Tiruvarur,2027,359810,ExponentialSmoothing,11994
Tiruvarur,2028,364734,ExponentialSmoothing,12158
Tiruvarur,2029,369659,ExponentialSmoothing,12322
Tiruvarur,2030,374583,ExponentialSmoothing,12486
Vellore,2026,225956,ExponentialSmoothing,7532
Vellore,2027,228726,ExponentialSmoothing,7624
Vellore,2028,231495,ExponentialSmoothing,7716
Vellore,2029,234265,ExponentialSmoothing,7809
Vellore,2030,237034,ExponentialSmoothing,7901
Viluppuram,2026,378589,ExponentialSmoothing,12620
Viluppuram,2027,384742,ExponentialSmoothing,12825
Viluppuram,2028,390896,ExponentialSmoothing,13030
Viluppuram,2029,397049,ExponentialSmoothing,13235
Viluppuram,2030,403203,ExponentialSmoothing,13440
Virudhunagar,2026,310576,ExponentialSmoothing,10353
Virudhunagar,2027,315180,ExponentialSmoothing,10506
Virudhunagar,2028,319783,ExponentialSmoothing,10659
Virudhunagar,2029,324387,ExponentialSmoothing,10813
Virudhunagar,2030,328990,ExponentialSmoothing,10966
